individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
565.0,-2.39,85.12,22.18,13.2,2.67,10.1859,0.0,0.0,2.0
1220.0,-3.06,96.44,16.51,10.85,2.71,9.1178,597.78,0.0,2.0
1930.0,-3.33,92.58,44.98,17.67,4.39,9.5868,367.01,37.07,2.0
2437.0,-2.2,85.02,33.78,16.1,3.29,13.9699,343.1,102.32,2.0
3247.0,-2.58,93.7,28.01,15.3,3.28,14.3128,300.28,111.21,2.0
3814.0,-2.41,,,,,24.6003,0.0,0.0,2.0
613.0,,,,14.35,4.1,18.9506,0.0,0.0,4.0
1132.0,-2.72,94.74,25.05,12.01,3.23,15.8685,394.81,0.0,4.0
1816.0,-3.61,127.42,25.71,11.1,3.46,4.1828,623.35,0.0,4.0
2611.0,-3.45,110.82,22.16,12.13,2.01,3.1365,324.37,146.43,4.0
3126.0,-2.65,89.3,21.79,12.34,3.02,16.6,0.0,0.0,4.0
3948.0,-2.26,95.11,33.86,13.03,4.23,31.9404,606.67,0.0,4.0
460.0,-2.67,110.26,13.89,5.1,2.92,9.5005,291.38,0.0,5.0
1174.0,-3.82,101.94,1.2,13.01,4.05,12.7445,386.47,0.0,5.0
1848.0,-3.38,87.99,23.63,12.32,3.25,18.3308,392.96,0.0,5.0
2505.0,-3.11,82.7,30.17,13.79,2.1,11.0297,443.74,0.0,5.0
3222.0,-3.25,108.17,32.13,14.4,4.0,8.7153,498.79,0.0,5.0
3756.0,-2.58,91.7,24.11,11.06,3.57,16.4129,384.38,0.0,5.0
524.0,-2.46,90.02,45.86,16.18,4.84,25.27,416.5,0.0,11.0
1227.0,-2.38,90.43,45.13,15.66,4.7,25.8542,386.47,0.0,11.0
669.0,,105.99,45.79,14.1,4.92,37.2853,489.9,0.0,11.0
2461.0,-2.33,103.11,36.0,11.67,3.01,17.5101,524.37,0.0,11.0
3215.0,-2.47,,,,,12.0046,483.78,0.0,11.0
3850.0,-2.1,114.49,33.95,13.43,4.22,22.3883,549.4,0.0,11.0
1201.0,-2.44,110.28,33.88,15.6,2.01,23.671,368.67,0.0,13.0
1936.0,-2.66,107.41,32.81,13.69,3.01,20.0832,539.39,0.0,13.0
2516.0,-2.42,83.95,32.26,14.68,3.62,21.9356,236.89,58.94,13.0
3090.0,-1.98,94.19,30.75,14.69,3.51,20.4976,0.0,0.0,13.0
3744.0,-2.49,111.32,35.16,13.52,4.29,24.4691,516.59,0.0,13.0
491.0,-2.76,87.65,24.54,12.84,1.1,27.6287,304.73,77.85,23.0
1249.0,-2.8,87.12,25.22,12.86,2.1,32.0701,346.83,101.68,23.0
1779.0,-2.73,98.16,23.66,12.42,3.09,23.3204,311.4,66.73,23.0
2424.0,-2.53,92.73,30.31,13.21,3.68,17.3503,0.0,0.0,23.0
3103.0,-2.38,106.9,23.68,11.0,2.1,13.0434,395.6,100.09,23.0
3801.0,-3.29,,,13.26,3.29,15.6899,331.79,103.8,23.0
541.0,,129.78,44.77,11.96,5.79,15.7795,543.36,0.0,24.0
1128.0,-2.8,,46.64,16.75,4.8,14.6261,269.3,0.0,24.0
1896.0,-2.71,74.35,65.75,14.63,6.56,10.8669,0.0,0.0,24.0
2466.0,-1.94,88.02,22.69,12.22,2.1,27.7938,336.98,0.0,24.0
3221.0,-2.53,95.23,49.42,16.96,4.46,19.814,454.39,0.0,24.0
