individuo_id,potencial_hidrico_foliar_30,area_foliar_individual_30,area_foliar_especifica_30,comprimento_foliar_30,largura_foliar_30,densidade_estomatica_adaxial_30,densidade_estomatica_abaxial_30,ima_30,progenie
1227.0,-4.48,31.36,92.65,13.59,3.5,0.0,0.0,24.1310724,11.0
2461.0,-5.28,35.83,153.23,9.61,5.51,0.0,0.0,22.1573522,11.0
11.0,-4.0,33.86,96.47,13.47,3.94,0.0,0.0,27.1123628,11.0
253.0,-3.63,36.03,84.19,14.39,4.11,0.0,0.0,34.4123035,11.0
669.0,-2.62,38.67,97.52,13.86,4.32,0.0,0.0,29.647892,11.0
554.0,-2.36,33.41,111.73,13.82,3.72,0.0,446.27,10.1707568,13.0
4256.0,-3.01,51.17,91.37,15.93,5.01,0.0,0.0,25.9696303,13.0
818.0,-2.48,34.01,87.43,16.67,2.97,0.0,392.83,20.7003794,13.0
1249.0,-3.1,25.53,90.88,12.35,3.08,142.64,471.4,30.8824251,23.0
2424.0,-1.72,29.51,117.62,11.46,4.04,108.68,339.62,16.2124774,23.0
3801.0,-3.7,28.14,95.33,13.38,3.22,92.38,395.32,15.1497171,23.0
1128.0,-3.72,43.62,103.59,14.2,4.87,0.0,0.0,13.7119543,24.0
3221.0,-3.63,42.3,92.45,16.22,3.61,0.0,0.0,21.6410933,24.0
24.0,-4.26,45.38,145.22,16.14,4.1,0.0,0.0,14.8053885,24.0
370.0,-2.43,43.27,100.96,15.98,3.94,295.04,324.08,48.1571026,24.0
704.0,-3.63,50.66,85.93,17.44,4.6,33.72,379.34,22.8996906,24.0
1138.0,-3.07,38.66,90.22,14.75,3.94,0.0,0.0,15.7967901,34.0
1913.0,-3.05,31.27,79.54,14.62,3.75,0.0,0.0,16.2674177,34.0
3763.0,-3.08,42.8,86.38,11.65,5.47,0.0,0.0,17.4382888,34.0
34.0,-3.05,36.73,95.14,10.15,5.28,0.0,0.0,22.0310229,34.0
930.0,-3.05,41.64,75.85,16.1,3.89,0.0,382.71,29.5780867,34.0
4242.0,-3.11,37.22,91.8,15.82,3.75,0.0,433.29,15.0946877,37.0
1256.0,-2.29,40.85,81.46,15.77,4.12,0.0,0.0,23.8777296,37.0
2432.0,-3.09,31.75,97.99,12.52,3.85,0.0,0.0,17.2194587,37.0
778.0,-3.11,35.59,81.06,14.48,3.95,0.0,0.0,17.6370223,37.0
950.0,-3.11,28.88,86.9,13.24,3.35,0.0,451.84,20.4178921,37.0
2484.0,-3.82,28.31,111.61,12.56,3.69,0.0,476.83,24.4614574,40.0
40.0,-3.39,19.16,107.38,11.65,2.42,0.0,0.0,23.326759,40.0
372.0,-3.07,24.85,96.31,14.59,2.64,43.83,487.24,30.1992302,40.0
805.0,-2.71,27.42,109.89,13.46,4.0,70.64,365.43,15.8967522,40.0
1078.0,-3.39,52.11,96.24,16.08,5.32,0.0,468.7,25.7102078,40.0
535.0,-3.35,37.34,86.0,15.9,3.76,0.0,0.0,27.0333328,44.0
2206.0,-3.89,18.48,94.05,14.0,2.06,0.0,499.24,3.58485686,44.0
813.0,-4.68,32.94,80.73,13.4,3.93,0.0,0.0,7.20979849,44.0
1844.0,-3.72,30.94,94.57,17.72,2.83,200.38,464.6,21.2166271,45.0
2556.0,-3.7,20.5,122.41,8.67,3.64,0.0,0.0,16.8975996,45.0
3800.0,-3.72,22.71,89.63,12.1,2.9,105.96,216.0,20.7863278,45.0
390.0,-4.98,43.01,126.32,19.5,3.45,0.0,0.0,24.8430918,45.0
471.0,-2.73,32.01,88.41,14.59,3.49,0.0,0.0,17.6192432,60.0
4376.0,-3.35,39.11,82.11,13.87,4.49,0.0,0.0,18.5822945,60.0
1818.0,-3.35,42.03,112.97,14.96,4.23,0.0,0.0,14.3843982,60.0
3181.0,-2.93,36.84,102.34,11.45,4.92,0.0,0.0,9.11836547,60.0
1537.0,-3.19,38.89,88.18,21.59,3.1,0.0,0.0,17.2831127,64.0
4356.0,-3.24,49.32,91.04,18.51,4.58,217.36,351.17,10.9062516,64.0
1881.0,-3.24,31.85,112.13,9.42,4.73,0.0,0.0,4.21747866,64.0
3104.0,-2.82,31.63,91.07,13.36,3.9,171.97,362.48,7.04400838,64.0
442.0,-3.96,35.83,105.84,15.42,3.99,0.0,0.0,13.1094335,66.0
1235.0,-2.88,45.03,86.5,20.03,3.83,0.0,0.0,12.7921358,66.0
2528.0,-4.27,38.16,98.9,13.15,4.54,0.0,0.0,7.06265975,66.0
66.0,-3.96,25.92,122.26,15.19,2.55,284.93,427.39,12.6729096,66.0
789.0,-4.32,39.87,96.9,17.97,3.62,0.0,0.0,17.1618939,66.0
