individuo_id,area_foliar_individual_36,comprimento_foliar_36,largura_foliar_36,area_foliar_especifica_36,potencial_hidrico_foliar_36,ima_36,progenie
3.0,19.4,8.38,3.69,104.88,-2.62,27.8017,3.0
3940.0,29.78,11.89,4.1,126.05,-2.4,21.065,3.0
781.0,29.71,,,83.29,-2.75,24.1487,3.0
1026.0,16.86,8.5,2.83,135.95,-1.48,26.2248,3.0
1130.0,30.34,10.46,4.24,108.73,-1.56,36.4974,3.0
11.0,28.27,10.68,4.04,104.69,-0.75,37.2224,11.0
2461.0,40.66,10.92,5.75,147.98,-2.31,15.6767,11.0
3215.0,37.38,13.48,4.4,128.68,-2.86,21.4647,11.0
253.0,39.43,15.4,3.94,79.18,-1.03,47.1295,11.0
669.0,29.71,11.5,4.01,92.4,-1.31,40.6933,11.0
1043.0,32.57,13.59,3.61,94.96,-2.2,51.0738,11.0
3850.0,,,,,,0.0,11.0
3712.0,25.18,9.65,3.91,214.78,-1.23,20.6222,13.0
376.0,33.33,14.76,3.68,116.4,-2.02,34.8247,13.0
554.0,30.49,14.07,3.39,112.71,-2.18,16.5306,13.0
818.0,37.1,17.19,3.17,74.43,-1.17,26.0462,13.0
20.0,39.39,14.31,4.29,192.14,-1.74,30.1121,20.0
3174.0,32.77,13.75,3.55,98.74,-2.39,12.9022,20.0
225.0,44.82,15.7,4.77,118.1,-1.78,18.6424,20.0
694.0,41.7,14.88,4.19,99.8,-1.13,25.9023,20.0
1030.0,35.01,13.34,3.89,122.06,-2.07,10.3106,20.0
2526.0,42.74,20.91,4.3,91.46,-2.79,21.1489,21.0
252.0,38.67881083,11.65350605,5.387253727,152.1789279,-2.58,8.9164,21.0
857.0,33.4,10.34,4.43,106.77,-2.36,28.7605,21.0
1003.0,40.45,15.26,4.44,99.42,-2.09,15.0025,21.0
1451.0,,,,,,21.9126,21.0
3186.0,63.22,17.46,5.41,121.46,-1.59,34.7596,22.0
360.0,29.99,11.22,4.14,92.69,-1.27,17.6556,22.0
450.0,33.97,13.89,3.61,92.61,-2.8,19.4653,22.0
877.0,37.15,14.41,3.89,90.89,-2.58,23.1735,22.0
906.0,,,,,,20.0979,22.0
1245.0,44.31,16.21,4.18,90.43,-1.3,20.9079,22.0
1793.0,52.29,14.67,5.14,95.95,-2.36,41.54,22.0
23.0,23.22,12.28,2.81,101.19,-2.43,35.6374,23.0
2424.0,27.77,12.76,4.03,132.57,-2.68,27.2443,23.0
3103.0,28.26,11.46,3.67,119.49,-2.56,27.5134,23.0
3103.0,,,,,,27.5134,23.0
3801.0,34.27,14.03,4.0,102.31,-2.47,21.3421,23.0
1249.0,,,,,,53.3832,23.0
1249.0,27.85,11.43,3.73,123.77,-1.78,53.3832,23.0
491.0,26.16,11.1,3.72,156.16,-2.59,51.7453,23.0
1779.0,26.92,10.42,4.04,124.91,-2.44,40.3362,23.0
24.0,41.4,13.24,4.81,165.26,-2.35,24.5799,24.0
3221.0,54.83,15.96,4.85,105.13,-3.06,34.3635,24.0
3896.0,44.94,14.45,4.89,98.56,,54.284,24.0
370.0,51.93,18.95,4.27,80.67,-1.32,62.661,24.0
704.0,37.64,11.66,4.79,126.11,-1.25,38.1375,24.0
1128.0,37.6,14.61,3.9,96.66,-1.23,22.861,24.0
25.0,33.15,11.57,4.5,148.25,-1.37,35.2348,25.0
3122.0,49.01,15.27,4.78,101.39,-2.37,47.9757,25.0
339.0,37.15,14.96,3.69,89.41,-1.68,34.3324,25.0
477.0,40.35,15.5,4.02,121.18,-1.8,25.36,25.0
861.0,34.86,14.55,3.56,88.59,-2.38,24.2463,25.0
885.0,36.36,13.33,4.12,100.58,-2.99,20.3358,25.0
1522.0,,,,,,28.242,25.0
26.0,43.28,14.07,4.56,87.62,-2.26,31.5135,26.0
