individuo_id,area_foliar_especifica_6,area_foliar_individual_6,comprimento_foliar_6,largura_foliar_6,potencial_hidrico_foliar_6,ima_6,densidade_estomatica_adaxial_6,densidade_estomatica_abaxial_6,progenie
524.0,140.69,41.57,12.78,5.11,-1.88,0.8594366927,0.0,474.9,11.0
1227.0,,,,,-1.7,0.7756416152,0.0,591.7,11.0
2195.0,117.82,30.89,11.69,4.43,-1.9,2.439403623,0.0,490.7,11.0
2461.0,134.32,24.27,8.23,4.28,-2.0,0.0,0.0,602.8,11.0
3215.0,129.3,27.26,9.19,4.64,,0.2069810035,0.0,714.9,11.0
3850.0,128.22,27.32,8.75,3.58,-1.79,1.025455193,0.0,638.4,11.0
554.0,132.29,32.69,10.86,4.51,-1.98,0.2437060066,0.0,514.9,13.0
1201.0,135.97,30.69,7.21,2.98,-1.8,1.184411192,0.0,0.0,13.0
1936.0,121.9,32.03,11.01,4.71,-2.0,0.6565141403,0.0,574.6,13.0
2516.0,110.74,28.78,11.19,4.29,-2.11,1.36883437,0.0,487.1,13.0
3090.0,126.38,30.53,10.77,4.64,,1.002676141,0.0,0.0,13.0
3744.0,,28.07,6.36,3.03,-1.72,1.140822632,0.0,529.4,13.0
491.0,,34.96,11.8,4.46,-2.56,1.477156816,131.9,376.3,23.0
1249.0,,,,,-2.12,1.092698156,116.0,319.3,23.0
1779.0,103.21,29.24,7.16,2.82,-2.36,0.9475289537,118.9,354.3,23.0
2424.0,105.59,24.12,5.87,2.67,-2.36,0.0,0.0,0.0,23.0
3103.0,136.55,24.56,9.2,4.11,,0.08021409132,93.4,371.8,23.0
3801.0,128.61,33.23,7.51,3.01,-2.78,0.2585472051,143.0,408.2,23.0
660.0,174.19,31.71,9.04,4.54,-1.95,0.4189753877,0.0,446.1,34.0
1138.0,,,,,-2.58,0.1931822699,0.0,535.1,34.0
1913.0,105.48,41.65,7.4,3.71,-2.25,0.6497341397,0.0,528.3,34.0
2471.0,120.08,28.64,6.25,3.04,-2.33,0.0277526432,0.0,521.5,34.0
3153.0,109.12,42.5,7.55,3.63,,0.5570423008,0.0,573.9,34.0
3763.0,112.78,36.22,7.14,3.39,-2.34,0.3457760505,0.0,656.2,34.0
544.0,112.79,27.23,9.31,4.16,-2.55,0.2904896021,0.0,444.9,37.0
1256.0,,,,,-1.4,1.258215318,0.0,631.7,37.0
1804.0,118.69,27.63,6.7,2.87,-1.68,0.1210373342,0.0,657.4,37.0
2432.0,126.82,32.02,6.77,3.25,-1.91,0.2757836854,0.0,620.0,37.0
3276.0,131.76,29.25,6.38,3.06,-2.36,0.1504014212,0.0,708.1,37.0
3937.0,126.6,19.57,8.38,3.77,-2.45,0.09201145148,0.0,0.0,37.0
531.0,135.44,28.15,9.97,3.98,-1.9,1.30709578,0.0,419.8,40.0
1195.0,131.8,27.73,6.72,2.64,-2.66,2.354219918,0.0,430.0,40.0
1972.0,,18.64,5.85,2.03,-1.66,0.4046315484,0.0,616.1,40.0
2484.0,141.39,24.07,6.11,2.46,-2.3,0.2578310078,0.0,501.6,40.0
3204.0,123.1,33.17,10.48,4.96,-2.57,0.8298657043,0.0,0.0,40.0
3751.0,132.62,21.59,5.92,2.24,-1.67,0.4883191964,0.0,467.1,40.0
691.0,,,,,-2.6,1.345257156,120.7,437.6,14.0
1181.0,134.22,33.84,8.1,3.18,-1.8,1.286767715,0.0,440.7,14.0
2115.0,138.6,14.22,7.0,3.03,-2.54,0.5917380784,0.0,956.4,14.0
2436.0,146.88,36.62,8.62,2.85,-2.2,0.5700094498,165.7,509.9,14.0
3082.0,136.15,44.52,9.69,3.47,,0.4973591972,97.9,418.9,14.0
