individuo_id,progenie,cap,altura,dap,volume,ima,resistente
1,1,=E2*3.14,13.6,11.4592,0.0631,20.0372,1
2,2,=E3*3.14,16.5,12.0958,0.0853,27.0859,1
3,3,=E4*3.14,14.8,12.0958,0.0765,24.2952,1
4,4,=E5*3.14,0,0,0,0,0
5,5,=E6*3.14,0,0,0,0,0
6,6,=E7*3.14,16.9,10.8225,0.07,22.2094,1
7,7,=E8*3.14,13.9,9.231,0.0419,13.2893,1
8,8,=E9*3.14,18.5,10.8225,0.0766,24.3121,1
9,9,=E10*3.14,0,0,0,0,0
10,10,=E11*3.14,0,0,0,0,0
11,11,=E12*3.14,18.6,14.9606,0.1471,46.709,1
12,12,=E13*3.14,0,0,0,0,0
13,13,=E14*3.14,0,0,0,0,0
14,14,=E15*3.14,0,0,0,0,0
15,15,=E16*3.14,13.2,11.4592,0.0613,19.4478,1
16,16,=E17*3.14,16.2,15.5972,0.1393,44.218,1
17,17,=E18*3.14,15.2,14.3239,0.1102,34.9914,1
18,18,=E19*3.14,0,0,0,0,0
19,19,=E20*3.14,15.1,13.6873,0.1,31.7399,1
20,20,=E21*3.14,15.2,13.6873,0.1006,31.9501,1
21,21,=E22*3.14,14.8,10.8225,0.0613,19.4496,1
22,22,=E23*3.14,0,0,0,0,0
23,23,=E24*3.14,16.5,15.5972,0.1419,45.0369,1
24,24,=E25*3.14,16.8,12.4141,0.0915,29.049,1
25,25,=E26*3.14,17.8,14.1648,0.1262,40.0712,1
26,26,=E27*3.14,17.2,12.7324,0.0985,31.2853,1
27,27,=E28*3.14,16.3,11.7775,0.0799,25.3678,1
28,28,=E29*3.14,0,0,0,0,0
29,29,=E30*3.14,0,0,0,0,0
30,30,=E31*3.14,0,0,0,0,0
31,31,=E32*3.14,14.6,12.0958,0.0755,23.9669,1
32,32,=E33*3.14,0,0,0,0,0
33,33,=E34*3.14,17,15.2789,0.1403,44.527,1
34,34,=E35*3.14,16,14.0056,0.1109,35.2142,1
35,35,=E36*3.14,0,0,0,0,0
36,36,=E37*3.14,17.3,18.1437,0.2013,63.8981,1
37,37,=E38*3.14,16.8,12.4141,0.0915,29.049,1
38,38,=E39*3.14,0,0,0,0,0
39,39,=E40*3.14,0,0,0,0,0
40,40,=E41*3.14,17.4,14.3239,0.1262,40.0559,1
41,41,=E42*3.14,18.4,16.2338,0.1714,54.4064,1
42,42,=E43*3.14,15.7,13.6873,0.104,33.0011,1
43,43,=E44*3.14,0,0,0,0,0
44,44,=E45*3.14,13.9,8.2761,0.0336,10.682,1
45,45,=E46*3.14,15.5,12.4141,0.0844,26.8011,1
46,46,=E47*3.14,11.7,6.3662,0.0168,5.3203,1
47,47,=E48*3.14,0,0,0,0,0
48,48,=E49*3.14,0,0,0,0,0
49,49,=E50*3.14,16.1,12.4141,0.0877,27.8386,1
50,50,=E51*3.14,0,0,0,0,0
51,51,=E52*3.14,0,0,0,0,0
52,52,=E53*3.14,0,0,0,0,0
53,53,=E54*3.14,0,0,0,0,0
54,54,=E55*3.14,0,0,0,0,0
55,55,=E56*3.14,0,0,0,0,0
56,56,=E57*3.14,0,0,0,0,0
57,57,=E58*3.14,0,0,0,0,0
58,58,=E59*3.14,0,0,0,0,0
59,59,=E60*3.14,15.8,15.438,0.1331,42.2506,1
60,60,=E61*3.14,0,0,0,0,0
61,61,=E62*3.14,0,0,0,0,0
62,62,=E63*3.14,11.9,9.231,0.0358,11.3772,1
63,63,=E64*3.14,0,0,0,0,0
64,64,=E65*3.14,0,0,0,0,0
65,65,=E66*3.14,15,14.3239,0.1088,34.5309,1
66,66,=E67*3.14,14.5,11.1408,0.0636,20.1928,1
67,67,=E68*3.14,0,0,0,0,0
68,68,=E69*3.14,12.9,7.0028,0.0224,7.0979,1
69,69,=E70*3.14,16.8,13.0507,0.1011,32.1047,1
70,70,=E71*3.14,0,0,0,0,0
71,71,=E72*3.14,11.2,7.3211,0.0212,6.7354,1
72,72,=E73*3.14,12,7.9577,0.0269,8.5262,1
73,73,=E74*3.14,0,0,0,0,0
74,74,=E75*3.14,0,0,0,0,0
75,75,=E76*3.14,0,0,0,0,0
76,76,=E77*3.14,0,0,0,0,0
77,77,=E78*3.14,0,0,0,0,0
