data,temperatura_minima,temperatura_media,temperatura_maxima,umidade_minima,umidade_media,umidade_maxima,preciptacao_minima,preciptacao_media,preciptacao_maxima,precipitacao_acumulada,idade
Jan/21,23,28.60754359,39,26,48.74114982,73,0.3,4.299664245,12.6,38.69697821,30
Fev/21,23,27.2347949,35.4,26,59.72707831,79,0.3,7.727169514,48,84.99886465,30
Mar/21,22.63333333,26.27543298,31.06666667,39,60.49419472,74,2.7,4.852072714,54,52.13316343,30
Abr/21,20.66666667,26.78295375,34.73333333,34.66666667,59.25979759,77,0.4,5.94900192,8.6,12.54524471,30
Mai/21,15.23333333,24.4858683,32.13333333,32.33333333,53.97660732,77,0.3,3.406566444,11.9,8.504369522,30
Jun/21,16.6,24.16948154,30.2,27,45.87597135,66,0,0,0,0,30
Jul/21,15.7,23.43659913,31.2,20,37.8110437,59,0,0,0,0,30
Ago/21,16.5,25.06080132,31.8,21,36.27053002,60,0,0,0,0,30
Set/21,20.2,27.92721072,36,18,32.18943285,55,0,0,0,0,30
Out/21,22.8,27.85626516,35.4,23,49.09444054,76,0.3,3.676746651,17.7,44.12095981,36
Nov/21,20.8,26.51193716,35,32,62.14539241,80,0.3,8.431538498,39.6,134.904616,36
Dez/21,21.2,26.96252479,38,35,65.50471897,86,0.3,10.98949699,75.9,208.8004427,36
