,individuo_id,progenie,cap,altura,dap,volume,ima,resistente
0,1,1,35.981888,13.6,11.4592,0.0631,20.0372,1
1,401,1,,,,,,0
2,458,1,,,,,,0
3,849,1,,,,,,0
4,1055,1,,,,,,0
5,1210,1,,,,,,0
6,1501,1,,,,,,0
7,1582,1,45.476934,16.1,14.4831,0.1194,37.8914,1
8,1811,1,,,,,,0
9,2039,1,,,,,,0
10,2409,1,,,,,,0
11,2585,1,,,,,,0
12,2779,1,33.98265,12.5,10.8225,0.0517,16.4271,1
13,2919,1,,,,,,0
14,3084,1,,,,,,0
15,3418,1,,,,,,0
16,3734,1,,,,,,0
17,3793,1,,,,,,0
18,4025,1,,,,,,0
19,4290,1,,,,,,0
20,2,2,37.980812,16.5,12.0958,0.0853,27.0859,1
21,392,2,,,,,,0
22,565,2,,,,,,0
23,780,2,36.98135,12.8,11.7775,0.0628,19.9207,1
24,1016,2,34.982112,15.4,11.1408,0.0676,21.4461,1
25,1220,2,,,,,,0
26,1526,2,,,,,,0
27,1735,2,,,,,,0
28,1930,2,,,,,,0
29,2075,2,,,,,,0
30,2292,2,,,,,,0
31,2437,2,30.48469,14.8,9.7085,0.0493,15.6514,1
32,2849,2,,,,,,0
33,3008,2,37.980812,15.9,12.0958,0.0822,26.101,1
34,3247,2,,,,,,0
35,3438,2,26.486528,15.0,8.4352,0.0377,11.975,1
36,3544,2,30.48469,14.6,9.7085,0.0486,15.4399,1
37,3814,2,39.979736,16.0,12.7324,0.0917,29.1026,1
38,4149,2,39.979736,14.9,12.7324,0.0854,27.1018,1
39,4237,2,37.480924,12.1,11.9366,0.0609,19.3437,1
40,3,3,37.980812,14.8,12.0958,0.0765,24.2952,1
41,311,3,,,,,,0
42,476,3,,,,,,0
43,781,3,38.980274,13.5,12.4141,0.0735,23.3429,1
44,1026,3,36.98135,14.3,11.7775,0.0701,22.2552,1
45,1130,3,43.47801,17.0,13.8465,0.1152,36.5695,1
46,1373,3,44.977046,16.3,14.3239,0.1182,37.5236,1
47,1688,3,,,,,,0
48,1785,3,,,,,,0
49,2061,3,,,,,,0
50,2410,3,34.982112,17.0,11.1408,0.0746,23.6743,1
51,2539,3,35.482,15.3,11.3,0.069,21.92,1
52,2812,3,37.980812,14.0,12.0958,0.0724,22.982,1
53,2861,3,31.983726,12.3,10.1859,0.0451,14.3185,1
54,3240,3,,,,,,0
55,3436,3,,,,,,0
56,3626,3,,,,,,0
57,3940,3,36.481462,15.0,11.6183,0.0716,22.7179,1
58,4031,3,37.480924,15.5,11.9366,0.0781,24.7791,1
59,4222,3,,,,,,0
60,4,4,,,,,,0
61,386,4,,,,,,0
62,613,4,,,,,,0
63,777,4,,,,,,0
64,1038,4,,,,,,0
65,1132,4,,,,,,0
66,1323,4,,,,,,0
67,1758,4,,,,,,0
68,1816,4,,,,,,0
