progenie,genotipo,cruzamento
1,GG682xGG682,(E. urophylla x E. grandis) x (E. urophylla x E. grandis)
2,GG682xGG918,(E. urophylla x E. grandis) x (E. camaldulensis)
3,GG682xGG927,(E. urophylla x E. grandis) x (E. camaldulensis)
4,GG682xGG2034,(E. urophylla x E. grandis) x (E. grandis HE)
5,GG682xGG2759,(E. urophylla x E. grandis) x (E. urophylla)
6,GG682xGG3389,(E. urophylla x E. grandis) x (E. urophylla HE)
7,GG682xGG4302,(E. urophylla x E. grandis) x (E. brassiana)
8,GG682xGG4304,(E. urophylla x E. grandis) x (E. urophylla x E. tereticornis)
9,GG682xGG4383,(E. urophylla x E. grandis) x ((E. grandis x E. brassiana) x E. pellita)
10,GG682xGG4386,(E. urophylla x E. grandis) x (E. pellita x E. brassiana)
11,GG2673,Testemunha 
12,GG2034xGG2759,(E. grandis HE) x (E. urophylla)
13,GG1823,Testemunha 
14,GG2034xGG4302,(E. grandis HE) x (E. brassiana)
15,GG2034xGG4304,(E. grandis HE) x (E. urophylla x E. tereticornis)
16,GG2034xGG4383,(E. grandis HE) x ((E. grandis x E. brassiana) x E. pellita )
17,GG2034xGG4386,(E. grandis HE) x (E. pellita x E. brassiana)
18,GG2759xGG2759,(E. urophylla) x (E. urophylla)
19,GG2759xGG3389,(E. urophylla) x (E. urophylla HE)
20,GG2759xGG4302,(E. urophylla) x (E. brassiana)
21,GG2759xGG4304,(E. urophylla) x (E. urophylla x E. tereticornis)
22,GG2759xGG4383,(E. urophylla) x ((E. grandis x E. brassiana) x E. pellita)
23,VM1,Testemunha 
24,GG3389xGG4302,(E. urophylla HE) x (E. brassiana)
25,GG3389xGG4304,(E. urophylla HE) x (E. urophylla x E. tereticornis)
26,GG3389xGG4383,(E. urophylla HE) x ((E. grandis x E. brassiana) x E. pellita)
27,GG918xVS02,(E. camaldulensis) x (E. camaldulensis)
28,GG2034xAEC2034,(E. grandis HE) x (E. grandis HE)
29,GG2034xAEC2197,(E. grandis HE) x (E. urophylla x (E. camaldulensis x E. grandis))
30,GG2034xVS02,(E. grandis HE) x (E. camaldulensis)
31,GG2034xVS62,(E. grandis HE) x (E. camaldulensis)
32,GG2034xCNB16,(E. grandis HE) x (E. urophylla HE)
33,GG3389xVS02,(E. urophylla HE) x (E. camaldulensis)
34,AEC1528,Testemunha 
35,GG3389xCNB16,(E. urophylla HE) x (E. urophylla HE)
36,GG2759xVS02,(E. urophylla) x (E. camaldulensis)
37,I144,Testemunha 
38,GG2759xCNB16,(E. urophylla) x (E. urophylla HE)
39,GG2759xAEC2034,(E. urophylla) x (E. urophylla x (E. camaldulensis x E. grandis))
40,GG1980,Testemunha 
41,GG3389xAEC2034,(E. urophylla HE) x (E. urophylla x (E. camaldulensis x E. grandis))
42,GG3389xAEC2197,(E. urophylla HE) x (E. urophylla x (E. camaldulensis x E. grandis))
43,GG2034xVT4,(E. grandis HE) x (E. urophylla x E. grandis)
44,GG918xGG918,(E. camaldulensis) x (E. camaldulensis)
45,GG918xVS62,(E. camaldulensis) x (E. camaldulensis)
46,GG918xGG927,(E. camaldulensis) x (E. camaldulensis)
47,GG2034xVM1,(E. grandis HE) x (E. urophylla x E. camaldulensis)
48,GG2034xVM4,(E. grandis HE) x (E. urophylla HE)
49,VM7xPlacaQuebr.,(E. urophylla HE) x (X)
50,GG682xVS2,(E. urophylla x E. grandis) x (E. camaldulensis)
51,GG682xVS62,(E. urophylla x E. grandis) x (E. camaldulensis)
52,GG682xCNB16,(E. urophylla x E. grandis) x (E. urophylla HE)
53,CNB16xBRA,(E. urophylla HE) x (E. brassiana)
54,CNB16xPEL,(E. urophylla HE) x (E. pellita)
55,GG682xVT4,(E. urophylla x E. grandis) x (E. urophylla x E. grandis)
56,GG682xVM1,(E. urophylla x E. grandis) x (E. urophylla x E. camaldulensis)
57,CNB16xCAM,(E. urophylla HE) x (E. camaldulensis)
58,CNB16xTER,(E. urophylla HE) x (E. tereticornis)
59,GG4304xVT4,(E. urophylla x E. tereticornis) x (E. urophylla x E. grandis)
60,GG4304xAEC2034,(E. urophylla x E. tereticornis) x (E. urophylla x (E. camaldulensis x E. grandis))
61,GG918xGG2759,(E. camaldulensis) x (E. urophylla)
62,GG4304xGG4304,(E. urophylla x E. tereticornis) x (E. urophylla x E. tereticornis)
63,CNB16xVT4,(E. urophylla HE) x (E. urophylla x E. grandis)
64,CNB16xCNB16,(E. urophylla HE) x (E. urophylla HE)
65,GG918xGG4302,(E. camaldulensis) x (E. brassiana)
66,GG918xGG4304,(E. camaldulensis) x (E. urophylla x E. tereticornis)
67,GG918xGG 4383,(E. camaldulensis) x ((E. grandis x E. brassiana) x E. pellita)
68,GG918xGG4386,(E. camaldulensis) x (E. pellita x E. brassiana)
69,GG918xVT4,(E. camaldulensis) x (E. urophylla x E. grandis)
70,GG918xAEC2034,(E. camaldulensis) x (E. urophylla x (E. camaldulensis x E. grandis))
